,category,text,labels
49,travel,苗栗》把握日光時間與美麗雪見約會,5
50,politics,"警方:莫斯科3萬人遊行力挺蒲亭莫斯科警方表示,今天",2
51,travel,北橫》明池森林遊樂區東北部避暑勝地,5
52,health,評比/連鎖早餐店太油、蔬菜不夠、衛生待加強,1
53,sports,豪膝拉警報?,3
54,tech,二十二檔Gphone概念股站上起跑線,4
55,travel,台糖文化區印度櫻花開不輸阿里山,5
56,tech,"中興通訊估行動裝置銷售比例增彭博社報導,中興通訊",4
57,politics,扁入監後首開庭,2
58,health,口溶錠壯陽藥,1
59,sports,傷癒新球季凱西從朵拉出發,3
60,politics,胡志強維安提升,2
61,health,捐血送大餐千人透早來排隊,1
62,sports,"〈NBA〉小牛要命定桿雷霆8分打逆襲前場比賽好不容易終止4連敗低潮的小牛,今天",3
63,sports,不當史來瘋小史專心投球,3
64,travel,屏東》滿州夫妻樹最浪漫的愛情傳說,5
65,tech,行銷人變頭家開發互動學習卡,4
66,edu,啟聰學校羞辱總統獎姊弟?,0
67,sports,印地安泉網賽克菲托娃落馬,3
68,travel,南投日月潭/浪漫線走涵碧步道,5
69,politics,陳揆:最嚴格把關,2
70,edu,「建中三傑」,0
71,travel,宜蘭田園樂活之旅單車蹓狗感受綠意,5
72,sports,雪梨網賽小威輕取杜契維娜挺進4強,3
73,edu,台大復旦合開EMBA,0
74,politics,未論台中補選,2
75,tech,,4
76,tech,不甩禁令北韓下月要發射衛星,4
77,health,凹洞痘疤OUT飛梭雷射擺脫花花臉,1
78,travel,高雄內門年度盛事今登場,5
79,sports,中場結束林書豪10分5助攻,3
80,politics,金溥聰介入提名?,2
81,sports,NBA/雷霆力克小牛,3
82,health,生活健康半數癌症可預防,1
83,politics,金門大橋案可租用大陸機具,2
84,politics,扁家偽證案二審,2
85,health,築路耆老憶中橫沿山豬洞攻頂,1
86,health,隔空發功治膝?捷運公園「氣功」直擊,1
87,travel,今夏大驚騎東海岸為你客製單車行程,5
88,sports,MLB/洋基捕手爭奪戰,3
89,edu,基測週六登場,0
90,travel,天氣回暖陽明山4萬人賞花,5
91,politics,美陸戰隊主力,2
92,travel,大直站/打牙祭享用老字號的豆花、涼麵,5
93,tech,4G下載超級快,4
94,health,●過境孟買總統:互信下進行,1
95,travel,踩單車親子「騎」HAPPY,5
96,sports,中職/石志偉盯直球,3
97,health,老年人易駝背原因多與脊椎毛病相關,1
98,politics,隱匿禽流感疫情?,2
99,travel,宜蘭》寒溪遊情人橋嘗鹹酸甜,5
100,edu,屏東國中小減110班,0
101,tech,《飛仙傳》菁英卡領取限量豋場、註冊帳號等你來召喚,4
102,health,沒有高潮的性也可以很美好,1
103,politics,高志鵬:扁沒想組黨,2
104,politics,月前已公證,2
105,politics,衡量兩岸距離,2
106,edu,小兄妹種菜燒飯,0
107,health,"天氣漸暖毒蛇出沒民眾掃墓須當心台灣氣候溫暖多溼,適合蛇類繁殖,每年驚蟄",1
108,edu,全國技藝教育績優人員獎》龍德師生,0
109,edu,明易經風水講座教授與企業發展關係,0
110,travel,南投/竹山天梯鐵腳之旅走過絕不後悔,5
111,politics,越首艘國產砲艇服役,2
112,sports,轉披熊袍,3
113,health,開心救肺男子重獲健康,1
114,travel,墾丁/悠客馬場體驗野外騎馬樂趣,5
115,tech,明象助PCB技術突破,4
116,tech,●外資喊買台灣大走強,4
117,sports,〈NBA〉挑戰再升級,3
118,sports,陳偉殷首場熱身賽,3
119,health,長期久坐,1
120,travel,北市/從生炒花枝到大雞排...流口水了!,5
121,travel,屏東/恆春半島旅館推出曙光優惠,5
122,edu,展望會:時刻刻待陪伴88災民,0
123,travel,趣樹林饗紅麴今登場新北市樹林區一年一度的「紅麴文化節」今,5
124,health,腳拇趾外翻怎麼辦?矯正步態是關鍵,1
125,edu,大學繁星推薦名額增、資格寬,0
126,tech,日中小面板合併抗韓對台影響小生產中小尺寸面板的日本顯示器公司,4
127,edu,<親職專家說法>寵子不孝,0
128,health,公費流感疫苗,1
129,health,營養午餐可立約不含瘦肉精,1
130,sports,NBA/精彩影片/林書豪14分7助攻,3
131,sports,球評:尼克烹牛意義重大,3
132,travel,第5站》情人木橋景觀豐富風景優美,5
133,politics,懲處張鳳強立委:海軍玩把戲,2
134,sports,尼克碰公牛林書豪尬MVP,3
135,sports,泰國高球賽曾雅妮奪冠,3
136,edu,連考13年,0
137,sports,石志偉擊毀林煜清2連勝,3
138,politics,參選黨主席?,2
139,travel,陽明山自然天籟,5
140,politics,李筱峰:面對二二八走出悲情,2
141,health,整合社區藥局,1
142,travel,"桃園》慈湖走一回幽靜避紛擾蔣公銅像紀念公園,收集來自全台的蔣公銅像。",5
143,tech,Deloitte亞太區高科技、高成長FAST500強發布,4
144,travel,赴美免簽+台北旅展,5
145,edu,大仁科大創辦人黃道宜21日仙逝,0
146,travel,沙湖壢藝術村「雪桐祭」5月推出光雕秀,5
147,travel,台北/俏江南麻辣登台標榜正宗川味,5
148,travel,苗栗/竹美山閣山嵐雲霧裊繞之桃花源,5
149,travel,免簽檀島首發團7天7萬有找,5
150,edu,母子作育英才,0
151,tech,智邦業內外有成進入收割期,4
152,sports,深圳女雙詹家姊妹摘冠,3
153,sports,林書豪仍任先發,3
154,travel,苗栗》古道、溪畔、湖邊賞桐處處美,5
155,health,魏德聖父親黃斑部病變!視覺模糊扭曲,1
156,politics,美方要的早得手,2
157,tech,上網時數愈高,4
158,travel,台鐵主題遊160旅客慢遊中、苗,5
159,sports,星高球賽首日曾雅妮第20名,3
160,health,營養保健-每天2片起司降低糖尿病風險,1
161,edu,國小新生M型就學,0
162,politics,副總統辯論週六登場,2
163,travel,新竹》飛鳳山古步道自然成趣,5
164,edu,師鐸獎恢復辦理補助得主出國,0
165,edu,經國樂齡大學,0
166,tech,鴻海Q1每股賺1.40元,4
167,edu,中寮樂齡學習資源中心揭牌由教育部補助設置的中寮鄉樂齡學習資源中心昨,0
168,travel,台南》桂田中信酒店南台灣之最,5
169,edu,明道大學生體驗營驚豔,0
170,edu,媒妁姻緣,0
171,edu,《模範父親...給他們歡呼》謝安息,0
172,politics,日台噴水戰躍紐時首頁包括美國紐約時報、美國有線電視新聞網,2
173,tech,逆天改命《鋼鐵元帥》新系統基因變異詳解,4
174,travel,鮮玩》沙雕藝術季名家塑奇景,5
175,tech,查Google美政府請大將,4
176,edu,小四寒假作業聽阿公阿嬤話童年,0
177,travel,宜蘭》永樂車站鐵道迷愛拍照留念,5
178,sports,台日義賽今為災民揮強棒,3
179,sports,借人千斤頂被A走,3
180,health,心情愉快放輕鬆別讓過勞找上身,1
181,tech,,4
182,health,偏頭痛與憂鬱症恐有雙向關係,1
183,travel,新竹》新竹護城河兩岸風情各不同,5
184,edu,一夜失明,0
185,politics,陸學者:利益失衡為改革癥結,2
186,politics,王建,2
187,tech,Sony新手機,4
188,edu,文化國中推廣在地食材,0
189,tech,傳三星新iPhone記憶體晶片訂單數量遭蘋果削減《路透社》,4
190,sports,台灣瑪吉斯,3
191,tech,施崇棠:6月發表無所不在雲端,4
192,edu,北星、新北星免試入學,0
193,travel,台中/美式餐廳冬季新菜優惠上桌,5
194,health,靜脈曲張的發生與預防,1
195,edu,環保署擬草案/電磁波疑慮,0
196,sports,NBA/尼克四連敗,3
197,sports,"NBA》布萊恩缺席明星賽後記者會韋德非故意傷人全明星比賽裡,布萊恩",3
198,travel,古蹟之旅/宜蘭舊監獄建築典雅懷古,5
199,edu,屏科大與上海元祖策略聯盟,0
200,tech,《A.V.A戰地之王,4
201,health,詹啟賢發表新書重量人物到場敘舊,1
202,tech,《全球使命》發表會鎖定4月3日,4
203,travel,嘉義》山美部落世外桃源盡攬生態美景,5
204,tech,小行星撞地球2040年會有可能,4
205,health,50元便當店,1
206,tech,App,4
207,travel,賽德克美景、醉後浪漫熱門場景追星行,5
208,sports,NBA實力排名尼克從16升到13,3
209,travel,花蓮經典民宿讓遊客體驗在地生活,5
210,edu,基隆各校招生成績都比去年好,0
211,politics,立院召委選舉藍10綠6,2
212,politics,反將一軍,2
213,health,海外慰僑美鳳姐保養破功,1
214,sports,潛力新星/接郭阜林棒子,3
215,sports,台日職棒義賽日超夢幻陣容,3
216,travel,瘋狂墾丁夏日奔向南台灣藍天碧海,5
217,politics,在野批美牛政策陳冲:會溝通,2
218,tech,"四個「黑手」把英飛凌從對手變手下今年三月,在美國光纖通訊展",4
219,tech,《戲谷麻將》復仇者聯盟現身,4
220,sports,青年盃射箭賽慈惠醫專比準,3
221,edu,大學學測考前衝刺─國文/熱門時事、電影多了解,0
222,sports,NBA/雙塔拔「塞」,3
223,sports,<UBA>「黃」大砲坐「鎮」輔大,3
224,tech,中華電全民共省通話上網統統省,4
225,politics,馬屏東造勢晚會,2
226,travel,秘景1》湯公館蔣中正親信故居,5
227,tech,《車三小-歷史本文》3/29不刪檔封測,4
228,health,頭皮屑長到眼睛裡?檢查驚見微胞子蟲,1
229,tech,《晴空物語》「水色武鬥場」火熱開打,4
230,sports,也追魔獸尼克拒讓出林書豪,3
231,travel,台南/溪美森林打盹比吹冷氣舒服,5
232,tech,搶救紫水雞將移棲小金門陵水湖,4
233,health,婦人排尿灼痛,1
234,edu,鋒仔百轟倒數,0
235,politics,勞委會訂每年3/5為同酬日行政院勞工委員會昨,2
236,tech,《將魂Online》29日全新改版開放新地圖新降魂,4
237,tech,北韓火箭上架,4
238,travel,澎湖海味民宿/海旅巢有家的味道,5
239,sports,空管,3
240,edu,美第一人,0
241,tech,南非:已準備好SKA營運〔〕針對澳洲媒體報導平方千米陣,4
242,health,直視鹵素燈,1
243,edu,捐紅包送年菜助弱勢溫暖過年,0
244,sports,獅爭霸分析/先發牛棚稱「投」,3
245,tech,《伊達傳說》15組伺服器爆滿,4
246,travel,玩美加再訪紐約林來瘋,5
247,politics,阿富汗情勢動盪,2
248,travel,赴日遊,5
249,politics,堅持民主人權,2
250,edu,北縣遴選38模父,0
251,tech,新北市勞動檢查超時工作最嚴重〔本報訊〕新北市政府勞工局於今,4
252,sports,新加坡賽失利,3
253,tech,LED新突破,4
254,tech,宏達電WP8手機在美賣輸諾基亞,4
255,politics,論美牛陳,2
256,politics,馬參觀胡適故居,2
257,tech,《聖痕幻想》不死巨龍強襲強勢登場,4
258,politics,共體時艱政院暫緩汰換公務車,2
259,sports,建仔肩膀緊應無大礙,3
260,health,"好天天籃球隊in高雄心路邀您開打近來,林書豪在籃壇發光發熱,而高雄有11名障礙青年",1
261,travel,國外跨年/經典跨年倒數紐約時代廣場,5
262,sports,冬奧/男子越野滑雪15公里自由式,3
263,politics,推動罷免,2
264,politics,胡功高震主?,2
265,sports,林恩宇的眼神,3
266,edu,陳宗興贈好書,0
267,sports,發掘下一個妮妮,3
268,travel,花蓮》西寶國小陶藝教學及農場值得一遊,5
269,travel,宜蘭》大草坪檜木屋東風農場RV生活,5
270,health,輕熟女攝鈣不足,1
271,health,雷射近視手術術前評估很重要雷射近視手術探討專題報導,1
272,sports,「伍」法容豪?,3
273,sports,劈腿接球洪臣宇反拉傷,3
274,health,流產,1
275,tech,澳洲以國安理由禁止華為競標寬頻網路建設,4
276,health,元宵節應景湯圓,1
277,politics,軍歌觀摩演練外國遊客比讚,2
278,health,豬肉含沙丁胺醇,1
279,tech,北韓發射火箭南韓強烈譴責,4
280,health,視力保健-咳嗽變紅眼結膜下出血先冷敷,1
281,sports,賽鴿季,3
282,sports,搶救阿福專題/阿福東山再起,3
283,sports,運動家魔球鬥虎巨人打線優紅人,3
284,politics,馬英九說兩岸是特殊關係,2
285,health,幼兒定檢全口遠離蛀牙,1
286,health,腎臟移植成效,1
287,sports,台足林來瘋領軍香江戰地主,3
288,travel,加拿大》秋遊卑詩省生態最動人,5
289,health,禽流感疫情疑隱匿監委主動查,1
290,health,髮際過高好困擾,1
291,tech,4G技術複雜,4
292,travel,績優團餐出爐旅行社不買帳?,5
293,travel,花蓮/東昇茶行百歲咖啡樹競相開花,5
294,tech,CES展下周登場台網通廠有梗,4
295,edu,屈尺廣興國小生態教學朱立倫:值得推廣國民黨新北長參選人朱立倫於昨,0
296,health,遊覽車盼補助交部:回歸市場,1
297,politics,台南都立委選區,2
298,travel,直擊車展現場,5
299,tech,可與Android手機互動的Sony,4
300,sports,旅外球星/陳品捷連3場獲保送,3
301,edu,品德教育網遭駭網友揶揄:沒人看,0
302,health,《神氣家族人生智慧寶庫》我不再讓自己變笨了,1
303,edu,高義國小劉嘉妏,0
304,health,病虛體弱,1
305,politics,228受難家屬吃魷魚粥紀念,2
306,sports,蔣偉寧期許十二年國教,3
307,tech,後製修圖有一套,4
308,travel,龜山島》龜尾湖寧靜美風景如畫,5
309,tech,分析師:鴻海鎖定夏普中小面板,4
310,health,腸病毒疫情逐漸升溫,1
311,tech,改善LED色澤不均,4
312,tech,"《車三小-歷史本文》4月6日12點公測開放!車貂蟬,緊急加開",4
313,sports,開球甘「帽」被噓,3
314,edu,蘇開敬老支票,0
315,edu,漢城華僑小學提前慶兒童節,0
316,sports,快訊/尼克殺爆禁區,3
317,edu,反媒體壟斷成大學生集結,0
318,politics,"敘軍攻陷荷姆斯反抗軍據點敘利亞安全官員表示,敘利亞軍隊已經在今天",2
319,tech,建國科大發明實力受國際矚目,4
320,sports,中華職棒/林其緯完全壓制獅隊,3
321,health,隱匿禽流感疫情,1
322,edu,行善換取服務幫雙親圓夢「時間銀行」提供互助券30志工隊加入,0
323,health,鑫永銓投產遞延獲利動能減,1
324,edu,不景氣家扶認養兒創新高,0
325,travel,南投》水里車埕木業館換新裝吸客,5
326,politics,掌政策會提議小英:時機不宜,2
327,politics,豬農抗議美牛,2
328,tech,《DJMAX》最新作品曝光用PSVita盡情享受,4
329,travel,南投》「奧萬大」楓顏衰還有山櫻秘境,5
330,sports,搞笑球王北愛爾蘭的新科世界高爾夫球王麥克羅伊,3
331,sports,吸睛!台灣馬卡龍砌成101大樓,3
332,tech,思愛普預測軟體銷售成長加速全球最大企業管理軟體製造商─思愛普,4
333,travel,新竹/一個人去旅行到亞山享優惠,5
334,sports,林書豪團隊逆襲120比103宰騎士,3
335,tech,唯冠要求禁售iPad,4
336,edu,黃道吉日,0
337,sports,總教頭力挺林書豪免驚,3
338,health,立院美牛公聽會,1
339,tech,基地未完工,4
340,edu,小婕母女齊飆淚,0
341,health,網傳中國爆SARS衛署求證,1
342,sports,世界拔河賽,3
343,edu,兄是毒蟲,0
344,politics,周美青新北掃街,2
345,health,龍子寵過頭變成無尾熊,1
346,travel,竹苗森呼吸/獅頭山探訪山林賞生態,5
347,tech,反貧窮遊行勞工29日上街,4
348,sports,林書豪T恤開賣,3
349,edu,過祖父母節/隔代教養公嬤,0
350,edu,海洋獨立音樂大賞,0
351,tech,《失落的星球3》公佈機械人大戰外星生物,4
352,sports,喇嘛說不吉利聖母峰骨灰攻頂計畫取消,3
353,travel,山海之濱水湳洞秋日尋幽小旅行,5
354,politics,立委百百款,2
355,tech,窮人啟動新一波半導體錢潮,4
356,travel,日月潭跨年水上煙火最動人,5
357,edu,預防霸凌趙麗雲籲訂反霸凌法,0
358,tech,連結平板電腦,4
359,sports,林來瘋夯林書豪寫真書搶出版,3
360,health,諾羅病毒肆虐母奶可提高嬰兒免疫力,1
361,travel,17公里海岸&香山濕地生態超豐富,5
362,politics,疑掏空公款3億,2
363,tech,今年SSD出貨估增1.65倍,4
364,tech,北韓執意試射日決定延長制裁,4
365,sports,NBA/Nash:我有責幫Gasol找回昔日雄風,3
366,travel,農家樂/栽種健康親子有機蔬果摘採,5
367,sports,LPGA/妮妮沒起色,3
368,tech,治禿頭見曙光,4
369,travel,台北》路邊林徑大尖山櫻花海,5
370,sports,林書豪現身國泰世華悠遊聯名卡,3
371,politics,陸學者:「中國」事務委員會名稱善意不足,2
372,health,停止補助施打疫苗陳保基否認,1
373,health,打噴嚏流鼻水,1
374,tech,手機通話費再連降4年,4
375,politics,成大校方刁難零貳社,2
376,sports,公牛撞山貓,3
377,travel,台北》踏青享地利台北福氣啦,5
378,travel,結合民宿政大書城花蓮店開張,5
379,tech,Skype,4
380,sports,LPGA/沉穩帶勁,3
381,sports,岳明國小51歲,3
382,sports,陳致遠復健為由,3
383,tech,紐時:蘋果每年全球避稅數十億「紐約時報」,4
384,tech,賣虛擬道具,4
385,health,芳苑蛋雞場驗出H5N2、H6N1,1
386,travel,基隆/「圓」滿如意樂泡景觀海底溫泉,5
387,travel,知性遊/展現全方位宜蘭的在地博物館,5
388,travel,嘉義/交趾剪黏牽牛花板頭村添新「夜」,5
389,travel,台北》葡萄樹莊園滿足愛美食的老饕,5
390,tech,領先全球,4
391,sports,SBL》金酒派二線上場練兵,3
392,travel,單車遊/騎遊193公路訪花尋自然,5
393,edu,>祖孫互動傳真情攜手表演參賽,0
394,politics,簽ECFA,2
395,tech,LSI,4
396,sports,熱火尼克季後賽死對頭邁阿密熱火隊是NBA1998年擴編的兩支球隊之一,3
397,health,274公斤泰女,1
398,politics,綠稱願與中互動,2
399,health,中醫治氣喘降低發病率,1
400,edu,嘉義媽咪走星光,0
401,sports,陳偉殷無酬客串《穿越101》超有Fu,3
402,tech,職業電競聯賽69場,4
403,travel,高雄/設計旅店慶開幕秀出普普風,5
404,politics,關廟反納骨塔告前南縣官員,2
405,health,救豬價,1
406,travel,紐西蘭》鷹巢酒店量身打造的尊貴獨享,5
407,sports,NBA/林書豪左膝微恙,3
408,travel,屏東》南國墾丁飆山撼水刺激玩法,5
409,sports,豪小子運彩破億男,3
410,health,市售肉品4年檢出3種瘦肉精,1
411,sports,"高爾夫》松山英樹收尾大崩盤,馬瑪特搶到第四張門票",3
412,tech,日核災紀錄:內閣震驚無人負責,4
413,sports,一軍登板,3
414,health,打破愛美女性迷思,1
415,travel,手工製作新鮮草莓大福,5
416,politics,陳菊代主席,2
417,health,拒死囚捐器官,1
418,travel,苦楝開花南177線一片紫海,5
419,tech,昱泉國際《玄武豪俠傳》《全民偶像》揮軍搶灘新興市場,4
420,tech,北韓下月擬射火箭南韓譴責,4
421,travel,宜蘭/麗翔溫泉客棧一種超乎享受的意猶未盡,5
422,travel,痞子英雄場景/同場加映:高雄夢時代,5
423,travel,南投》第1站/水社碼頭日月潭精華點,5
424,tech,塑毒風波消費者求償78億,4
425,tech,台灣微軟與企業合作開發Windows,4
426,politics,防檢局長下台後...疫情就HOLD住了嗎,2
427,tech,iPhone,4
428,politics,教育部擬放寬陸生限制,2
429,health,假醫療真美容,1
430,sports,林書豪領軍追分上半場拿9分,3
431,sports,魔鬼代言人》阿姆斯壯「懺悔錄」,3
432,sports,明早再戰小牛拒當輸輸去,3
433,edu,「亞洲兒童影展」啟英高中為國爭光,0
434,edu,訓話性騷擾,0
435,politics,<台東立委補選>衝!衝!衝!,2
436,sports,SBL全明星週首日破7千人,3
437,travel,東北角迎曙光看表演吃早餐,5
438,sports,尼克5日踢館林書豪對決郎多,3
439,sports,坐穩A咖得助全隊融入林體系,3
440,tech,智慧型手機相機再升級,4
441,tech,《夢幻之星網路版2》網路名作登上PSVita,4
442,tech,《海盜任務》轉轉法則新鮮玩讓你動動腦,4
443,tech,推首款吞食外傳雲端遊戲,4
444,edu,"肌萎兄弟上進老爸辛勞有回報父親節將屆,高雄市長陳菊",0
445,health,"邊境逐批查驗進口牛肉明天零點啟動為了避免含有瘦肉精的牛肉進口,衛生署將於明天",1
446,travel,單車遊俠縱情山水體驗秋意暢快,5
447,travel,台南》水流東神祕的角落,5
448,sports,虎女郎又爆,3
449,tech,Splashtop推新品,4
450,health,"護理人員勞動條件不佳衛署將修法改善台灣的護理人力嚴重短缺,勞委會主委王如玄今天",1
451,travel,台北/三鶯陶花源廢土場變綠地,5
452,edu,高市國中學長糾眾打傷學弟,0
453,health,《吃出健康》歸芎粥,1
454,edu,植物人甦醒製賀卡感恩,0
455,travel,苗栗/通霄鄉間作客藝術饗宴玩陶趣,5
456,tech,美術園道創意藝術市集週末登場,4
457,sports,MLB/基特地位無可取代可得32億新約留洋基?「紐約之子」基特,3
458,sports,京都挑戰賽,3
459,travel,高屏千人拼幸福來墾丁看國慶鳥,5
460,travel,台東新旅店》知本富野享受隱密美人湯,5
461,tech,成大追風,4
462,sports,Kobe耍花招,3
463,sports,"小史飆火球建感慨「青春無敵」〔特派記者鄭又嘉/佛州維拉市報導〕在小史熱身賽登板,飆出96英里",3
464,sports,曼非斯男網賽衛冕者羅迪克八強賽遭淘汰,3
465,politics,中央機關總員額法,2
466,politics,林書豪最新MV,2
467,sports,最後部署...綠移師桃園,3
468,travel,台東》鹿野騎單車龍田好風光,5
469,tech,,4
470,travel,南投》明德村不怕塞風櫃斗「梅」得比,5
471,politics,〈快訊〉美牛風暴延燒!,2
472,tech,電信協會:電信資費十年降過半,4
473,politics,致力公益洛克菲勒續寫歷史,2
474,politics,「很多我還不知道」,2
475,health,二代保「補充保費」制,1
476,sports,宜蘭中小學運動會,3
477,health,基隆免費肺炎疫苗,1
478,edu,大考開冷氣電費,0
479,sports,林書豪9分戰籃網暫落後,3
480,tech,Steve,4
481,travel,台北/101跨年煙火全台人氣最旺煙火秀,5
482,tech,北韓發射火箭失敗,4
483,travel,台北/輕搖滾Bistro0文藝小酒吧,5
484,edu,封存10年,0
485,health,CAS也出包!,1
486,tech,北韓堅稱有權發射衛星,4
487,travel,台中》國民化路線親子逍遙遊,5
488,tech,電動自行車,4
489,tech,馬訪台南,4
490,politics,美牛風暴續燒,2
491,politics,〈獨家〉角逐市議員?,2
492,tech,師法企鵝,4
493,tech,用心生活愛地球減少富裕垃圾愛•惜地球系列報導,4
494,politics,扁傳不適珍要求戒護就醫,2
495,travel,新北市/虎豹潭賞綠看花藍色水潭如秘境,5
496,health,今年春季過敏提早侵襲,1
497,sports,快訊/D-Will飆分強壓林書豪,3
498,edu,學測4考場更名看清處別跑錯,0
499,politics,美牛「有條件」解禁,2
500,travel,賞楓/新中橫公路楓冰同場秀美景,5
501,edu,老師換跑道,0
502,politics,喊台獨不敢做,2
503,travel,台北橋站/五燈獎豬腳讓你豪氣扒飯,5
504,travel,全台瘋桐花!香格里拉歡慶「桐」樂會,5
505,politics,馬:兩岸和平協議,2
506,sports,"高爾夫》世界排名第十週,英格蘭「玫瑰」重返十大",3
507,sports,唐肇廷豪語要當新人王,3
508,politics,〈獨家〉景觀台聳人行道!,2
509,politics,西門扶輪社把愛傳出去,2
510,politics,釣魚台命名爭議,2
511,politics,扁遲未戒護就醫,2
512,tech,北韓若發射飛彈,4
513,edu,>媒體素養教育電子報:日本學者經驗交流,0
514,politics,薄熙來談共富分配與發展兼得,2
515,politics,陳菊今北上,2
516,edu,手機調查國中女、高中男最愛煲電話粥,0
517,politics,童書借閱,2
518,travel,台東/鹿鳴溫泉酒店花東縱谷渡假聖地,5
519,health,象尾吉祥越象遭池魚之殃,1
520,politics,主席牌提前出手馬英九下鄉拚輔選,2
521,sports,老鷹折翼照飛終結雷霆7連勝,3
522,tech,,4
523,sports,印地安泉賽費德瑞猛轟愛司球,3
524,health,《醫二三事》1010301,1
525,politics,陳唐山:保證全力支持金溥聰,2
526,tech,融程電首季EPS約0.83元,4
527,politics,陳冲國會處女秀/答應暫緩開放瘦肉精換得上台報告,2
528,edu,土庫商工城鄉落差電腦營成果豐,0
529,tech,電電公會智慧生活體驗館3月14日開幕展現會員科技應用服務■李正宗■台灣區電機電子公會,4
530,travel,宜蘭市公所喜見櫻花...借來的,5
531,tech,採微交易模式《Tribes:Ascend》4月12日正式發行,4
532,politics,小砍200億,2
533,politics,中國加速研發「雪鶚」、「隱型飛鯊」,2
534,sports,起亞賽第3天曾雅妮穩定領先,3
535,politics,達悟族人籲遷出核廢料,2
536,edu,>親子天下「國際品格教育論壇」,0
537,politics,核廢廠租約到期達悟族:不續租台電向蘭嶼承租土地存放核廢料的租約已經在去年底到期。達悟族人今天,2
538,sports,建仔落腳華盛頓效力國民隊,3
539,tech,乒乓話網提供雲端整合服務,4
540,tech,"中國電信獲利低於預期中國大陸最大固網電信商-中國電信集團公布首季獲利低於分析師預估,因推出蘋果",4
541,travel,南投/全鎮數千棵埔里處處見秋櫻,5
542,politics,吳育昇桃色風暴,2
543,tech,《光の封印Online》不刪檔封測人數爆滿,4
544,politics,備詢初體驗回應《夢想家》龍應台:我不相信任何政府▲龍應台。,2
545,sports,豪闖明星賽改變球團營運方向,3
546,edu,EYE天使藝術日,0
547,edu,在韓台生平安,0
548,politics,召妓案求償敗訴,2
549,health,血尿無痛不在意,1
550,edu,新豐國中足球隊,0
551,edu,師大攜手賓大搶進學華語市場,0
552,edu,<沒有距離>大學生網上課輔,0
553,travel,雲林》咖啡飄香的季節品味最道地的台灣味,5
554,politics,新興市場炫富ING:精品業成長力大,2
555,health,常看電視少運動易得憂鬱,1
556,tech,弧光號的墜落《Firefall》首部劇情CG電影曝光,4
557,sports,新秀賽掌聲多豪享樂趣,3
558,edu,以為是胖了,0
559,travel,重溫《那些年》彰化場景實地搜查,5
560,health,痛風忌高普林食物尿酸高疾病風險增,1
561,politics,習近平訪土耳其會晤土國總統、參與商業論壇中國大陸國家副主席習近平昨,2
562,politics,綠委批郝柏村失言、應道歉,2
563,politics,黃昭順請蔣方智怡,2
564,edu,方文山寫校歌,0
565,edu,自由大聲講》銅鑼國小國樂團將再創高峰吳建華,0
566,politics,國會新秀吳宜臻推客家流行樂,2
567,politics,林瑞雄:選完住處仍被電磁波攻擊,2
568,tech,陸明年面板產能,4
569,tech,協易機械工業,4
570,travel,時光旅行回到金九礦山繁華年代,5
571,health,找出自己的強項,1
572,politics,北捷擬改中和線藍委籲先溝通,2
573,edu,全國行銷王,0
574,sports,HBL基商克強恕季軍當起點,3
575,edu,高中超導磁浮創意賽二信佳作,0
